date	Elev	Mid	Lower	NoPwr	 Jul_2026 	 Aug_2026_6MAF 
19640131	3414.6	3575	3525	3490	 - 	 - 
19640229	3414.8	3575	3525	3490	 - 	 - 
19640331	3410.8	3575	3525	3490	 - 	 - 
19640430	3398.2	3575	3525	3490	 - 	 - 
19640531	3434.7	3575	3525	3490	 - 	 - 
19640630	3472	3575	3525	3490	 - 	 - 
19640731	3484.2	3575	3525	3490	 - 	 - 
19640831	3490.3	3575	3525	3490	 - 	 - 
19640930	3491.7	3575	3525	3490	 - 	 - 
19641031	3491.9	3575	3525	3490	 - 	 - 
19641130	3491.5	3575	3525	3490	 - 	 - 
19641231	3491.9	3575	3525	3490	 - 	 - 
19650131	3491.4	3575	3525	3490	 - 	 - 
19650228	3491.9	3575	3525	3490	 - 	 - 
19650331	3491.9	3575	3525	3490	 - 	 - 
19650430	3490.9	3575	3525	3490	 - 	 - 
19650531	3491.8	3575	3525	3490	 - 	 - 
19650630	3510.9	3575	3525	3490	 - 	 - 
19650731	3530.9	3575	3525	3490	 - 	 - 
19650831	3531.3	3575	3525	3490	 - 	 - 
19650930	3530.1	3575	3525	3490	 - 	 - 
19651031	3531.6	3575	3525	3490	 - 	 - 
19651130	3532.6	3575	3525	3490	 - 	 - 
19651231	3534.6	3575	3525	3490	 - 	 - 
19660131	3535.2	3575	3525	3490	 - 	 - 
19660228	3534.3	3575	3525	3490	 - 	 - 
19660331	3536.7	3575	3525	3490	 - 	 - 
19660430	3539	3575	3525	3490	 - 	 - 
19660531	3544.6	3575	3525	3490	 - 	 - 
19660630	3544.9	3575	3525	3490	 - 	 - 
19660731	3540	3575	3525	3490	 - 	 - 
19660831	3534	3575	3525	3490	 - 	 - 
19660930	3529.5	3575	3525	3490	 - 	 - 
19661031	3527.1	3575	3525	3490	 - 	 - 
19661130	3523.6	3575	3525	3490	 - 	 - 
19661231	3521.5	3575	3525	3490	 - 	 - 
19670131	3517.4	3575	3525	3490	 - 	 - 
19670228	3515.2	3575	3525	3490	 - 	 - 
19670331	3512.5	3575	3525	3490	 - 	 - 
19670430	3507.3	3575	3525	3490	 - 	 - 
19670531	3509.1	3575	3525	3490	 - 	 - 
19670630	3529.2	3575	3525	3490	 - 	 - 
19670731	3532.5	3575	3525	3490	 - 	 - 
19670831	3530.5	3575	3525	3490	 - 	 - 
19670930	3528.5	3575	3525	3490	 - 	 - 
19671031	3528.2	3575	3525	3490	 - 	 - 
19671130	3528.3	3575	3525	3490	 - 	 - 
19671231	3527.1	3575	3525	3490	 - 	 - 
19680131	3525.1	3575	3525	3490	 - 	 - 
19680229	3526	3575	3525	3490	 - 	 - 
19680331	3520.5	3575	3525	3490	 - 	 - 
19680430	3514	3575	3525	3490	 - 	 - 
